Text
"Scenario: Current Policies, Region: USA, Variable: Agricultural Demand, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Additions Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Capacity Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Carbon Sequestration CCS, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Concentration CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions C2F6, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions C2F6, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CH4, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CH4, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CH4, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CH4, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CH4, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CH4, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions CO2, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions F-Gases, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions F-Gases, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions HFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions Kyoto Gases, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions Kyoto Gases, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions N2O, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions N2O, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions N2O, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions N2O, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions N2O, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions N2O, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions NH3, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions NH3, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions NOx, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions NOx, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions OC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions OC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions PFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions PFC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions SF6, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions SF6, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions Sulfur, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions Sulfur, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Emissions VOC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Emissions VOC, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Energy Service Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Energy Service Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Energy Service Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Energy Service Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Electricity, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Gases, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Gases, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Heat, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Hydrogen, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Hydrogen, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Industry, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Liquids, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Liquids, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Non-Energy Use, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Non-Energy Use, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Residential and Commercial, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Solids, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Solids, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Solids, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Solids, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Solids, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Solids, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Solids, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Final Energy Transportation, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Forcing, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: GDP MER, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: GDP MER, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: GDP PPP, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: GDP PPP, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Investment Energy Supply, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Investment Energy Supply, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Investment Energy Supply, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Investment Energy Supply, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Investment Energy Supply, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: World, Variable: Investment Energy Supply, Model: GCAM-PR 5.3"
